house_title,house_location,house_money,house_url
【合租】西二旗 融泽嘉园2号院 2室次卧,融泽嘉园2号院,2000,http://bj.58.com/pinpaigongyu/28058474300715x.shtml
【合租】四季青 和泓四季 3室次卧,和泓四季,2100,http://bj.58.com/pinpaigongyu/27925750412587x.shtml
【合租】北苑 北苑家园绣菊园 3室次卧,北苑家园绣菊园,2100,http://bj.58.com/pinpaigongyu/27693592917180x.shtml
【整租】高碑店 青遇home 1室1厅,青遇home,2300,http://bj.58.com/pinpaigongyu/28124818664117x.shtml
【合租】回龙观 函数公寓 2室主卧,【合租】回龙观,2350,http://bj.58.com/pinpaigongyu/27659840207425x.shtml
【合租】朝阳公园 姚家园西里 3室主卧,姚家园西里,2380,http://bj.58.com/pinpaigongyu/27848376792515x.shtml
【合租】北苑 北苑家园紫绶园 3室主卧,北苑家园紫绶园,2400,http://bj.58.com/pinpaigongyu/27645332285492x.shtml
【合租】八里庄 慈云寺北里 3室主卧,慈云寺北里,2780,http://bj.58.com/pinpaigongyu/27892944843335x.shtml
【合租】物资学院路 慧合公寓 3室主卧,【合租】物资学院路,2060,http://bj.58.com/pinpaigongyu/27800404322613x.shtml
【整租】十八里店 如果寓 1室1厅,如果寓,2970,http://bj.58.com/pinpaigongyu/28078555948470x.shtml
【合租】亚运村 安慧北里安园 3室次卧,安慧北里安园,2000,http://bj.58.com/pinpaigongyu/28067804217408x.shtml
【合租】回龙观 函数公寓 2室次卧,【合租】回龙观,2150,http://bj.58.com/pinpaigongyu/27723903648587x.shtml
【整租】北七家 白各庄新村 1室1厅,白各庄新村,2640,http://bj.58.com/pinpaigongyu/28088196051891x.shtml
【合租】望京 世安家园 3室次卧,世安家园,2500,http://bj.58.com/pinpaigongyu/27726926067517x.shtml
【合租】四季青 和泓四季 3室主卧,和泓四季,2600,http://bj.58.com/pinpaigongyu/27991773936438x.shtml
【整租】立水桥 立水桥 立水桥 1室1厅,立水桥,2880,http://bj.58.com/pinpaigongyu/27718839126342x.shtml
【合租】芍药居 吉利家园 4室主卧,吉利家园,2800,http://bj.58.com/pinpaigongyu/27713372205136x.shtml
【整租】亦庄 蜂客公寓 1室0厅,【整租】亦庄,2880,http://bj.58.com/pinpaigongyu/28099177473485x.shtml
【整租】立水桥 立水桥 ZOME 1室1厅,立水桥,2880,http://bj.58.com/pinpaigongyu/27706270049354x.shtml
【合租】西二旗 融泽嘉园6号院 3室主卧,融泽嘉园6号院,2180,http://bj.58.com/pinpaigongyu/27943539474896x.shtml
【合租】常营 慧合公寓新建村 3室主卧,【合租】常营,2260,http://bj.58.com/pinpaigongyu/27744514246588x.shtml
【合租】四季青 和泓四季 3室次卧,和泓四季,2200,http://bj.58.com/pinpaigongyu/28002154560179x.shtml
【整租】亦庄 蜂客公寓 1室1厅,【整租】亦庄,2880,http://bj.58.com/pinpaigongyu/27857091079624x.shtml
【整租】十里河 如果寓 1室1厅,如果寓,2970,http://bj.58.com/pinpaigongyu/27825506802232x.shtml
【合租】通州北苑 万方家园 3室主卧,万方家园,2400,http://bj.58.com/pinpaigongyu/28026179510962x.shtml
【合租】芍药居 圣馨家园 4室主卧,圣馨家园,2900,http://bj.58.com/pinpaigongyu/27670492842942x.shtml
【整租】十里河 如果寓 1室1厅,如果寓,2880,http://bj.58.com/pinpaigongyu/28110414567244x.shtml
【整租】立水桥 ZOME己美公寓 1室1厅,【整租】立水桥,2880,http://bj.58.com/pinpaigongyu/27888799048650x.shtml
【合租】姚家园 姚家园西里 3室主卧,姚家园西里,2180,http://bj.58.com/pinpaigongyu/27866838398252x.shtml
【合租】温泉 环保嘉苑 3室主卧,环保嘉苑,2100,http://bj.58.com/pinpaigongyu/28081305775164x.shtml
【合租】西二旗 融泽嘉园6号院 3室次卧,融泽嘉园6号院,2250,http://bj.58.com/pinpaigongyu/28090430235848x.shtml
【合租】石佛营 金隅凤麟洲 3室次卧,金隅凤麟洲,2480,http://bj.58.com/pinpaigongyu/28036447644615x.shtml
【整租】亦庄 兴盛国际 1室1厅,兴盛国际,2780,http://bj.58.com/pinpaigongyu/27756589741481x.shtml
【合租】亚运村 慧忠北里第二社区 4室主卧,慧忠北里第二社区,2900,http://bj.58.com/pinpaigongyu/27639232574541x.shtml
【整租】天竺 后沙峪花园洋房 2室1厅,后沙峪花园洋房,2400,http://bj.58.com/pinpaigongyu/27712037893051x.shtml
【合租】北苑 北卫家园 3室次卧,北卫家园,2100,http://bj.58.com/pinpaigongyu/27715356403506x.shtml
【合租】亚运村 慧忠北里 3室次卧,慧忠北里,2900,http://bj.58.com/pinpaigongyu/27669515302991x.shtml
【合租】西三旗 函数公寓龙旗店 2室主卧,【合租】西三旗,2350,http://bj.58.com/pinpaigongyu/27745687823914x.shtml
【整租】亦庄 蜂客公寓 1室1厅,【整租】亦庄,2780,http://bj.58.com/pinpaigongyu/27892405515982x.shtml
【合租】朝阳公园 姚家园东里 3室次卧,姚家园东里,2080,http://bj.58.com/pinpaigongyu/27745525545773x.shtml
【合租】朝阳公园 姚家园西里 3室主卧,姚家园西里,2480,http://bj.58.com/pinpaigongyu/28098567000136x.shtml
【合租】垡头 世纪东方嘉园 4室次卧,世纪东方嘉园,2460,http://bj.58.com/pinpaigongyu/27978994335938x.shtml
【整租】亦庄 蜂客公寓 1室1厅,【整租】亦庄,2880,http://bj.58.com/pinpaigongyu/27821819719888x.shtml
【整租】霍营 ZOME己美公寓 1室1厅,【整租】霍营,2880,http://bj.58.com/pinpaigongyu/27706037637554x.shtml
【合租】管庄 远洋一方 3室次卧,远洋一方,2000,http://bj.58.com/pinpaigongyu/27988974958276x.shtml
【合租】四惠 观音惠园 3室次卧,观音惠园,2100,http://bj.58.com/pinpaigongyu/27869686139856x.shtml
【合租】四惠 观音惠园 3室次卧,观音惠园,2100,http://bj.58.com/pinpaigongyu/27869686139856x.shtml
【合租】常营 北辰福第二号院 3室次卧,北辰福第二号院,2160,http://bj.58.com/pinpaigongyu/28043637354668x.shtml
【整租】良乡 睿府书香 1室1厅,睿府书香,2300,http://bj.58.com/pinpaigongyu/28089647259209x.shtml
【合租】亦庄 金泰公寓 3室主卧,【合租】亦庄,2300,http://bj.58.com/pinpaigongyu/27711678518219x.shtml
